,pid,pkey,pauthor,peditor,ptitle,pyear,paddress,ppublisher,pseries,pjournal,pjournalfull,pbooktitle,pbooktitlefull,ptype
7600,707939,conf/sip/buigz05,qinghui zhang|song gao|tien d bui,,newimage segmentation models,2005,,,,,,sip,,inproceedings
7601,527521,conf/issac/roach94,kelly roach,,symbolicnumeric nonlinear equation solving,1994,,,,,,issac,,inproceedings
7602,588152,conf/mldm/francec07,douglas carroll|stephen france,,development of an agreement metric based upon the rand index for the evaluation of dimensionality reduction techniques with applications to mapping customer data,2007,,,,,,mldm,,inproceedings
7603,546061,conf/iwmm/jonesr08,chris ryder|richard e jones,,a study of java object demographics,2008,,,,,,ismm,,inproceedings
7604,788116,conf/www/detmoldfmomn03,david s munro|henry detmold|katrina e falkner|ronald morrison|stuart norcross|travis olds,,an integrated approach to static safety of web applications,2003,,,,,,www posters,,inproceedings
7605,191779,conf/e4mas/keilg05,david keil|dina q goldin,,indirect interaction in environments for multiagent systems,2005,,,,,,emas,,inproceedings
7606,283210,conf/hci/heiderk07,thomas heider|thomas kirste,,usable multidisplay environments concept and evaluation,2007,,,,,,hci ,,inproceedings
7607,187316,conf/dna/majumderslr06,john h reif|sudheer sahu|thomas h labean|urmi majumder,,design and simulation of selfrepairing dna lattices,2006,,,,,,dna,,inproceedings
7608,370078,conf/icinco/stoicard08,cristina elena stoica|didier dumur|pedro rodriguezayerbe,,offline robustification of predictive control for uncertain systems  a suboptimal tractable solution,2008,,,,,,icincospsmc,,inproceedings
7609,87016,conf/caise/bielkowiczt01,peter bielkowicz|thein than tun,,a comparison and evaluation of data requirement specification techniques in ssadm and the unified process,2001,,,,,,caise,,inproceedings
7610,450604,conf/ifip5-7/beauchenehs93,alain haurat|b schweyer|d beauchene,,designing an information system for a manufacturing enterprise under the aspect of a cim approach the olympios model,1993,,,,,,apms,,inproceedings
7611,197238,conf/eccb/demirgy05,bulent yener|cigdem demir|s humayun gultekin,,augmented cellgraphs for automated cancer diagnosis,2005,,,,,,eccbjbi,,inproceedings
7612,624824,conf/pdcat/kawakamisn08,kensuke kawakami|koji nakano|koji shigemoto,,redundant radixr number system for accelerating arithmetic operations on the fpgas,2008,,,,,,euc ,,inproceedings
7613,769129,conf/webnet/koutoumanosprs96,anastasios koutoumanos|emmanuel skordalakis|nikolaos papaspyrou|symeon retalis,,towards a novel networked learning environment,1996,,,,,,webnet,,article
7614,401131,conf/iconip/kalyanidt04,d g thomas|t kalyani|v rajkumar dare,,local and recognizable iso picture languages,2004,,,,,,iconip,,inproceedings
7615,192001,conf/escience/ranjanchkb07,aaron harwood|lipo chan|rajiv ranjan|rajkumar buyya|shanika karunasekera,,decentralised resource discovery service for large scale federated grids,2007,,,,,,escience,,inproceedings
7616,405810,conf/icpp/mcdowell88,charles e mcdowell,,viewing anomalous states in parallel programs,1988,,,,,,icpp ,,inproceedings
7617,89012,conf/captech/zaimay98,hisayoshi zaima|tsuyoshi yamamoto,,d modeling from captured images using bidirectional ray traversal method,1998,,,,,,captech,,inproceedings
7618,241480,conf/fiw/wangt07,feng wang|kenneth j turner,,policy conflicts in home care systems,2007,,,,,,icfi,,inproceedings
7619,88429,conf/caivd/sudhirlj98,anil k jain|g sudhir|john chungmong lee,,automatic classification of tennis video for highlevel contentbased retrieval,1998,,,,,,caivd,,phdthesis
7620,624134,conf/pdc/ertnerkm10,anne mie kragelund|lone malmborg|marie ertner,,five enunciations of empowerment in participatory design,2010,,,,,,pdc,,inproceedings
7621,892379,conf/bmas/doboliv00,alex doboli|ranga vemuri,,towards a specification notation for highlevel synthesis of mixedsignal and analog systems,2000,,,,,,bmas,,inproceedings
7622,319942,conf/icann/fuertes-martinezpdrbv07,abel a cuadrado vega|ignacio diaz blanco|juan j fuertesmartinez|manuel dominguezgonzalez|miguel a prada|perfecto regueraacevedo,,modeling of dynamics using process state projection on the self organizing map,2007,,,,,,icann ,,article
7623,2421956,reference/mm/lukacpy06,chingnung yang|konstantinos n plataniotis|rastislav lukac,,image secret sharing,2006,,,,,,encyclopedia of multimedia,,incollection
7624,528298,conf/issre/aranhabl06,eduardo aranha|jose lima|paulo borba,,model simulation for test execution capacity estimation,2006,,,,,,issre,,inproceedings
7625,873615,conf/etelemed/rodriguezmapga09,alberto a aguilarlasserre|alejandro rodriguez gonzalez|giner alorhernandez|juan miguel gomez|myriam mencke|ruben posadagomez,,medboli medical diagnosis based on ontologies and logical inference,2009,,,,,,etelemed,,inproceedings
7626,450799,conf/ifip5-7/makimma99,akira maeda|hideyuki maki|hiroyuji akimori|t morita,,applying data mining to data analysis in manufacturing,1999,,,,,,apms,,inproceedings
7627,26071,conf/acm/khailanya85a,asad khailany|john audritsh,,control charts as a cpu performance measurement tool abstract only,1985,,,,,,acm conference on computer science,,inproceedings
7628,8903,conf/ieeeares/almohammadhg08,adel almohammad|gheorghita ghinea|robert m hierons,,high capacity steganographic method based upon jpeg,2008,,,,,,ares,,inproceedings
7629,767146,conf/webi/sharif-paghaleh09,hossein sharifpaghaleh,,analysis of the waiting time effects on the financial return and the order fulfillment in webbased group buying mechanisms,2009,,,,,,eumas,,inproceedings
7630,867905,conf/csse/bolxj08,chen bo|gao xiue|wang le|yan juanjuan,,design and implementation of quantitative nutritional guidance system for pregnant woman,2008,,,,,,egov,,inproceedings
7631,12820,conf/ieeescc/leekkp08,hyeon soo kim|jaikyung lee|seongwhan park|seung hak kuk,,extended bpel system for eengineering framework considering the characteristics of mechanical engineering services,2008,,,,,,ieee scc ,,inproceedings
7632,182266,conf/dgo/graves10,alvaro graves,,integrating and publishing public safety data using semantic technologies,2010,,,,,,dgo,,inproceedings
7633,732306,conf/swste/kantorowitzlm03,alexander lyakas|artur myasqobsky|eliezer kantorowitz,,a use caseoriented user interface framework,2003,,,,,,swste,,inproceedings
7634,873154,conf/riao/xuankdct07,ai kawazoe|dien dinh|nigel collier|thao pham thi xuan|tran quoc tri,,construction of a vietnamese corpora for named entity recognition,2007,,,,,,riao,,phdthesis
7635,520449,conf/isnn/sunrq09,guang ren|qiaomei sun|xiaowei qi,,interactive learning neural networks for predicting game behavior,2009,,,,,,iconip ,,inproceedings
7636,821561,conf/cec/schoemane09,andries petrus engelbrecht|isabella lona schoeman,,scalability of the vectorbased particle swarm optimizer,2009,,,,,,ants conference,,inproceedings
7637,542294,conf/iwann/fonsecaff95,isabel barahona da fonseca|jose barahona da fonseca|jose simoes da fonseca,,visual information processing from the viewpoint of symbolic operations,1995,,,,,,iwann,,inproceedings
7638,465916,conf/ilp/vensrb06,celine vens|hendrik blockeel|jan ramon,,remauve a relational model tree learner,2006,,,,,,ilp,,phdthesis
7639,840870,conf/iciw/kostapnk08,eija kaasinen|eleni kosta|marketta niemela|olli pitkanen,,ethicallegal challenges in usercentric ami services,2008,,,,,,iciw,,article
7640,731355,conf/stringology/ardilailm05,costas s iliopoulos|gad m landau|manal mohamed|yoan jose pinzon ardila,,approximation algorithm for the cyclic swap problem,2005,,,,,,stringology,,inproceedings
7641,743888,conf/uist/wiechab90,charles wiecha|stephen j boies,,generating user interfaces principles and use of it style rules,1990,,,,,,uist,,inproceedings
7642,679235,conf/seal/zhongzf10,jinghui zhong|jun zhang|zhun fan,,mpeda a robust estimation of distribution algorithm with multiple probabilistic models for global continuous optimization,2010,,,,,,seal,,inproceedings
7643,622467,conf/pci/ouzouniszk09,achilles d kameas|athanasios g ouzounis|ioannis d zaharakis,,an implementation of a symbiotic ecology with selfproperties in an ehealth scenario,2009,,,,,,panhellenic conference on informatics,,inproceedings
7644,50618,conf/aosd/pearcen06,david j pearce|james noble,,relationship aspects,2006,,,,,,aosd,,inproceedings
7645,380923,conf/icip/yudlh09,kah eng hoe|li dong|liyuan li|xinguo yu,,liftbutton detection and recognition for service robot in buildings,2009,,,,,,icsr,,inproceedings
7646,100594,conf/cf/jinlprwf10,alexander d rast|luis a plana|mikel lujan|stephen r welbourne|steve furber|xin jin,,efficient parallel implementation of multilayer backpropagation networks on spinnaker,2010,,,,,,conf computing frontiers,,inproceedings
7647,815657,conf/rr/meier10,michael meier,,on the termination of the chase algorithm,2010,,,,,,rr,,inproceedings
7648,465838,conf/ilp/parsonkm99,khalid khan|rupert parson|stephen muggleton,,theory recovery,1999,,,,,,ilp,,inproceedings
7649,647347,conf/profes/jorgensenm04,kjetil molokken|magne jorgensen,,eliminating overconfidence in software development effort estimates,2004,,,,,,profes,,inproceedings
7650,528101,conf/issre/elbaumcgr05,bhuvana gopal|gregg rothermel|kalyanram chilakamarri|sebastian g elbaum,,helping endusers engineer dependable web applications,2005,,,,,,issre,,inproceedings
7651,765174,conf/wdag/kellerps94,dieter scheerer|jorg keller|wolfgang j paul,,realization of prams processor design,1994,,,,,,wdag,,inproceedings
7652,910498,conf/vsgames/yusoffcg10,amri yusoff|lester gilbert|richard crowder,,validation of serious games attributes using the technology acceptance model,2010,,,,,,vsgames,,inproceedings
7653,5492,conf/acmace/shiratorich07,junichi hoshino|kazuhito shiratori|rai chan,,constructing negotiation of meaning model for taskbased language training online game,2007,,,,,,advances in computer entertainment technology,,phdthesis
7654,815349,conf/foci/al-natshehe07,hussein t alnatsheh|taisir eldos,,performance optimization of adaptive resonance neural networks using genetic algorithms,2007,,,,,,foci,,inproceedings
7655,906613,conf/dbkda/mokhtarm09,gihan mahmoud|hoda mokhtar,,querying trajectory data warehouses,2009,,,,,,mobile data management,,inproceedings
7656,805033,conf/vtc/pausinijw04,gerard j m janssen|klaus witrisal|marco pausini,,analysis of isi for an ir uwb symboldifferential autocorrelation receiver,2004,,,,,,vtc fall ,,inproceedings
7657,522921,conf/ispa/helalemg08,bruno a gaeta|hossam elgindy|lenore r mullin|manal helal,,parallelizing optimal multiple sequence alignment by dynamic programming,2008,,,,,,ispa,,inproceedings
7658,240679,conf/fgr/ekenelfgts08,hazim kemal ekenel|hua gao|lorant toth|mika fischer|rainer stiefelhagen,,face recognition for smart interactions,2008,,,,,,fg,,inproceedings
7659,284280,conf/hci/layyl09,chernsheng lin|huijen yang|yunlong lay,,computerassisted lip reading recognition for hearing impaired,2009,,,,,,hci ,,inproceedings
7660,881018,conf/fmn/gomesjca10,antonio jorge gomes abelem|eduardo cerqueira|rafael lopes gomes|waldir aranha moreira junior,,a qoe fuzzy routing protocol for wireless mesh networks,2010,,,,,,fmn,,inproceedings
7661,170677,conf/dba/paezsf05,cristina satizabal|jordi forne|rafael paez,,cooperative agents and software fingerprinting for security in intrusion detection systems based on autonomous agents,2005,,,,,,databases and applications,,inproceedings
7662,780820,conf/ws/singeleep06,bart preneel|dave singelee,,location privacy in wireless personal area networks,2006,,,,,,workshop on wireless security,,inproceedings
7663,687178,conf/seus/camilosrb07,andre rodrigues|fernando boavida|jorge sa silva|tiago camilo,,gensen a topology generator for real wireless sensor networks deployment,2007,,,,,,seus,,inproceedings
7664,632158,conf/persuasive/firpokrz09,daniel firpo|peter ractham|sumonta kasemvilas|xuesong zhang,,generating a sense of community in a graduate educational setting through persuasive technology,2009,,,,,,persuasive,,inproceedings
7665,694247,conf/sigdoc/aluisiospmcf08,erick galani maziero|helena de medeiros caseli|lucia specia|renata pontin de mattos fortes|sandra m aluisio|thiago alexandre salgueiro pardo,,a corpus analysis of simple account texts and the proposal of simplification strategies first steps towards text simplification systems,2008,,,,,,sigdoc,,inproceedings
7666,718920,conf/soqua/landclb05,ivica crnkovic|laurens blankers|rikard land|stig larsson,,architectural reuse in software systems inhouse integration and merge  experiences from industry,2005,,,,,,qosasoqua,,inproceedings
7667,386691,conf/icmcs/billotipb97,isabelle puaut|manuel billot|michel banatre|valerie issarny,,improving reliability of distributed vod servers,1997,,,,,,icmcs,,inproceedings
7668,737896,conf/tphol/jacobsr06,bart jacobs|john m rushby,,pvs,2006,,,,,,the seventeen provers of the world,,inproceedings
7669,597156,conf/msn/dudkowskimr07,dominique dudkowski|kurt rothermel|pedro jose marron,,migration policies for locationcentric data storage in mobile adhoc networks,2007,,,,,,msn,,inproceedings
7670,530365,conf/isvc/bailsx09,chunming li|deshen xia|quansen sun|xiaojing bai,,contrast constrained local binary fitting for image segmentation,2009,,,,,,isvc ,,inproceedings
7671,722736,conf/spire/shanksw01,hugh e williams|vaughan r shanks,,fast categorisation of large document collections,2001,,,,,,spire,,inproceedings
7672,744547,conf/uml/chabrols00,david sarramia|michelle chabrol,,object oriented methodology based on uml for urban traffic system modeling,2000,,,,,,uml,,inproceedings
7673,184622,conf/dis/panovsd09,larisa n soldatova|pance panov|saso dzeroski,,towards an ontology of data mining investigations,2009,,,,,,icdm workshops,,inproceedings
7674,208168,conf/edoc/dunlopir03,jadwiga indulska|kerry raymond|nicole dunlop,,methods for conflict resolution in policybased management systems,2003,,,,,,edoc,,inproceedings
7675,789600,conf/www/bolljkknpsw08a,arno scharl|christopher jones|eric kansa|erik wilde|mor naaman|puneet kishor|ross purves|susanne boll,,location and the web locweb ,2008,,,,,,locweb,,phdthesis
7676,723354,conf/splst/kalmanhg03,ferenc havasi|miklos kalman|tibor gyimothy,,compacting xml documents,2003,,,,,,splst,,inproceedings
7677,561979,conf/kivs/sass03,detlef sass,,fluidflowansatze zur analytischen untersuchung eines fair queueing bediensystems,2003,,,,,,kivs,,inproceedings
7678,567306,conf/lctrts/palemrmkp02,kiran puttaswamy|krishna v palem|pinar korkmaz|rodric m rabbah|vincent john mooney,,design space optimization of embedded memory systems via data remapping,2002,,,,,,lctesscopes,,inproceedings
7679,222613,conf/esws/baumgartnerfg07,georg gottlob|oliver frolich|robert baumgartner,,the lixto systems applications in business intelligence and semantic web,2007,,,,,,eswc,,inproceedings
7680,258328,conf/ftdcs/hugheswc04,daniel hughes|geoff coulson|ian warren,,improving qos for peertopeer applications through adaptation,2004,,,,,,ftdcs,,inproceedings
7681,87030,conf/caise/baidagsma04,andrei z morch|hanne saele|hans akkermans|jaap gordijn|ziv baida,,energy services a case study in realworld service configuration,2004,,,,,,caise,,inproceedings
7682,535892,conf/itcc/pallickaraf05,geoffrey fox|shrideep pallickara,,an analysis of notification related specifications for webgrid applications,2005,,,,,,itcc ,,inproceedings
7683,818941,conf/ccece/wangcljk09,bangli liang|bo wang|dianyong chen|jinguang jiang|tad a kwasniewski,,a programmable precursor isi equalization circuit for highspeed serial link over highly lossy backplane channel,2009,,,,,,ccece,,inproceedings
7684,644815,conf/ppswr/zhums04,hongwei zhu |michael siegel|stuart e madnick,,reasoning about temporal context using ontology and abductive constraint logic programming,2004,,,,,,ppswr,,inproceedings
7685,742667,conf/ucs/jinlp06,guangyao jin|myongsoon park|xiaoyi lu,,dynamic clustering for object tracking in wireless sensor networks,2006,,,,,,ucs,,inproceedings
7686,645050,conf/prdc/zhaozlz06,feng zhao|jinjing zhao|peidong zhu|xicheng lu,,the hierarchy of bgp convergence on the selforganized internet,2006,,,,,,prdc,,inproceedings
7687,136839,conf/coots/reverbelm97,arthur b maccabe|francisco c r reverbel,,making corba objects persistent the object database adapter approach,1997,,,,,,coots,,inproceedings
7688,253200,conf/fse/cheonl04,dong hoon lee |jung hee cheon,,resistance of sboxes against algebraic attacks,2004,,,,,,fse,,inproceedings
7689,207263,conf/edbt/zhoup09,bin zhou |jian pei,,answering aggregate keyword queries on relational databases using minimal groupbys,2009,,,,,,edbt,,inproceedings
7690,8453,conf/ieeeares/montanipbc06,andrea bobbio|daniele codetta raiteri|luigi portinale|stefania montani,,automatically translating dynamic fault trees into dynamic bayesian networks by means of a software tool,2006,,,,,,ares,,inproceedings
7691,275525,conf/gmmemv/mullerksr05,bernd korber|dieter sperling|matthias richter |norman muller,,vergleich von messverfahren zur bewertung der storemission von fahrzeugelektroniken uber einen weiten frequenzbereich,2005,,,,,,gmm emv,,inproceedings
7692,814656,conf/arc/limalmm07,carlos r erig lima|heitor s lopes|maiko r moroz|ramon m menezes,,multiple sequence alignment using reconfigurable computing,2007,,,,,,arc,,inproceedings
7693,754473,conf/vlsi/smith03a,scott f smith ,,the advanced encryption standard on an asynchronous sharedmemory multiprocessor,2003,,,,,,vlsi,,inproceedings
7694,639252,conf/pods/meierswl10,fang wei|georg lausen|michael meier |michael schmidt,,semantic query optimization in the presence of types,2010,,,,,,pods,,inproceedings
7695,562082,conf/kivs/vogelwhkw95,hartmut wittig|lars c wolf|ralf guido herrtwich|ronny vogel|winfried kalfa,,qosfinder ein verfahren zur wegewahl fur multimediale strome in rechnernetzen,1995,,,,,,kommunikation in verteilten systemen,,inproceedings
7696,27799,conf/acri/lawniczakws10,anna t lawniczak|bruno n di stefano|hao wu ,,impact of coupling of distributed denial of service attack with routing on throughput of packet switching network,2010,,,,,,acri,,inproceedings
7697,522876,conf/ispa/leesrhn08,dong woo seo|gue won rhee|jae yeol lee|jiseung nam|sung hun hong,,virtual and pervasive smart home services using tangible mixed reality,2008,,,,,,ispa,,inproceedings
7698,677122,conf/scn/lulk06,changhoon lee|jiqiang lu|jongsung kim,,relatedkey attacks on the fullround cobrafa and cobrafb,2006,,,,,,scn,,phdthesis
7699,845702,conf/mva/astromf92,anders astrom|robert forchheimer,,mapp smart vision sensor programmability and adaptivity,1992,,,,,,mva,,inproceedings
7700,58707,conf/asap/gbolagadevc10,george razvan voicu|kazeem alagbe gbolagade|sorin dan cotofana,,memoryless rnstobinary converters for the n   n n   moduli set,2010,,,,,,asap,,incollection
7701,275518,conf/gmmemv/kraft001,karl heinz kraft|thomas muller ,,untersuchung der leitungsabschlusse fur den canbus,2001,,,,,,gmm emv,,phdthesis
7702,564815,conf/latin/hajiaghayin10,arefeh a nasri|mohammadtaghi hajiaghayi,,prizecollecting steiner networks via iterative rounding,2010,,,,,,latin,,inproceedings
7703,163977,conf/dagstuhl/chengpgs09,bradley r schmerl|david garlan|shangwen cheng|vahe poladian,,improving architecturebased selfadaptation through resource prediction,2009,,,,,,software engineering for selfadaptive systems,,phdthesis
7704,644933,conf/prdc/cioccakkkk04,c mani krishna|daniel s katz|e ciocca|israel koren|zahava koren,,applicationlevel fault tolerance in the orbital thermal imaging spectrometer,2004,,,,,,prdc,,inproceedings
7705,481176,conf/ipps/broschhhkkkmsv00,andreas kugel|bernd vettermann|christian hinkelbein|holger singpiel|jurgen hesser|klaus kornmesser|oliver brosch|reinhard manner|torsten kuberka,,atlantis  a hybrid fpgarisc based reconfigurable system,2000,,,,,,ipdps workshops,,inproceedings
7706,216045,conf/er/hogenboomhfkmsv10,alexander hogenboom|damir vandic|flavius frasincar|frederik hogenboom|kim schouten|otto van der meer|uzay kaymak,,speed a semanticsbased pipeline for economic event detection,2010,,,,,,er,,inproceedings
7707,19313,conf/aaecc/bouliern01,francois boulier|sylvain neut,,cartans characters and stairs of characteristic sets,2001,,,,,,aaecc,,article
7708,856942,conf/wstst/banerjeeahm05,ajith abraham|p k mahanti|sangyong han|soumya banerjee,,soft modeling of group dynamics and behavioral attributes,2005,,,,,,wstst,,inproceedings
7709,213436,conf/epew/martensbkr08,anne martens|heiko koziolek|ralf reussner|steffen becker,,an empirical investigation of the applicability of a componentbased performance prediction method,2008,,,,,,epew,,inproceedings
7710,476581,conf/inforsid/aliaa07,abdelaziz abdellatif|amen ben hadj ali|samir ben ahmed,,transformation des contraintes dintegrite  des modeles conceptuels vers le relationnel,2007,,,,,,inforsid,,phdthesis
7711,248365,conf/formats/chatterjeehp08,krishnendu chatterjee|thomas a henzinger|vinayak s prabhu,,timed parity games complexity and robustness,2008,,,,,,formats,,inproceedings
7712,570105,conf/loca/ciuranalb09,david lopez |francisco barceloarroyo|marc ciurana,,softoa software ranging for toabased positioning of wlan terminals,2009,,,,,,loca,,inproceedings
7713,58204,conf/arvlsi/killpackmm01,chris j myers|eric mercer|kip c killpack,,a standardcell selftimed multiplier for energy and area critical synchronous systems,2001,,,,,,arvlsi,,inproceedings
7714,70599,conf/ausdm/stewart07,bozena stewart,,reflection on development and delivery of a data mining unit,2007,,,,,,ausdm,,inproceedings
7715,224129,conf/euc/huangltcj08,beihong jin|bo liu|jiannong cao|xianping tao|yu huang ,,an analytical model for broadcasting by self pruning in wireless ad hoc networks,2008,,,,,,euc ,,inproceedings
7716,862202,conf/simpar/menegattidmpbzz10,alberto pretto|andrea bardella|andrea zanella|emanuele menegatti|marco mina|matteo danieletto|pietro zanuttigh,,discovery localization and recognition of smart objects by a mobile robot,2010,,,,,,simpar,,inproceedings
7717,307390,conf/iberamia/aguilerabcgm06,alfredo burrieza|emilio munozvelasco|gabriel aguilera|inmaculada perez de guzman|pablo cordero,,mat logic a temporalxmodal logic with nondeterministic operators to deal with interactive systems in communication technologies,2006,,,,,,iberamiasbia,,inproceedings
7718,734793,conf/tapsoft/gribomontd93,e pascal gribomont|vincent van dongen,,generic systolic arrays a methodology for systolic design,1993,,,,,,tapsoft,,inproceedings
7719,650717,conf/pvm/almasiaghmm04,charles archer|george almasi|john a gunnels|jose e moreira|philip heidelberger|xavier martorell,,architecture and performance of the bluegenel message layer,2004,,,,,,pvmmpi,,inproceedings
7720,302543,conf/hybrid/wangkb97,ali beydoun|le yi wang|pramod p khargonekar,,robust control of hybrid systems performance guided strategies,1997,,,,,,hybrid systems,,phdthesis
7721,138990,conf/cpaior/bauer05,andreas bauer ,,simplifying diagnosis using lsat a propositional approach to reasoning from first principles,2005,,,,,,cpaior,,inproceedings
7722,278325,conf/groupware/gartnere93,edeltraud egger|johannes gartner,,datenschutz fur drinnen und draussen praktische losungsansatze fur datenschutzprobleme in und zwischen gruppen bei groupwareapplikationen,1993,,,,,,menschengerechte groupware,,phdthesis
7723,867891,conf/csse/manmlh08,h l leung|j huang|ka lok man|michele mercaldi,,performance and functional analysis of tlm models in the she methodology,2008,,,,,,csse ,,inproceedings
7724,48023,conf/ams/daniilidishs96,gerald sommer|konstantinos daniilidis|michael hansen,,real time pursuit and vergence control with an active binocular head,1996,,,,,,ams,,inproceedings
7725,569893,conf/lisa/capposbp0hbjh07,duy nguyen |jason hardies|jeffry johnston|jeremy plichta|john h hartman|justin cappos|matt borgard|scott m baker,,stork package management for distributed vm environments,2007,,,,,,lisa,,article
7726,853149,conf/mobimedia/venkatesanc07a,c chellappan|s venkatesan ,,protecting freeroaming mobile agent against multiple colluded truncation attacks,2007,,,,,,mobimedia,,inproceedings
7727,118211,conf/clima/hommersoml07,arjen hommersom|peter j f lucas,,actions with failures in interval temporal logic,2007,,,,,,clima viii,,inproceedings
7728,888387,conf/sigdial/balchandranrss09,larry sansone|leonid rachevsky|rajesh balchandran|roberto sicconi,,dialog system for mixed initiative oneturn address entry and error recovery,2009,,,,,,sigdial conference,,inproceedings
7729,45827,conf/algosensors/haklh06,byeongjik lee|ki jun han|minsu kim|namkoo ha,,a locating method for ubiquitous robots based on wireless sensor networks,2006,,,,,,algosensors,,inproceedings
7730,78658,conf/birthday/roeverlm10,gerald luttgen|michael mendler|willempaul de roever,,what is in a step new perspectives on a classical question,2010,,,,,,essays in memory of amir pnueli,,inproceedings
7731,45525,conf/alart/mulvaneysswz05,david j mulvaney|erick swere|ian p w sillitoe|yang wang |zhenhuan zhu,,realtime machine learning in embedded software and hardware platforms,2005,,,,,,alart,,inproceedings
7732,732974,conf/tabletop/gallardojj08,carles fernandes julia|daniel gallardo|sergi jorda,,turtan a tangible programming language for creative exploration,2008,,,,,,tabletop,,inproceedings
7733,694060,conf/sigdoc/leonardw89,a l waller|d leonard,,usability planning for enduser training,1989,,,,,,sigdoc,,inproceedings
7734,621333,conf/parle/stellnerbll94,arndt bode|georg stellner|stefan lamberts|thomas ludwig ,,nxlib  a parallel programming environment for workstation clusters,1994,,,,,,parle,,inproceedings
7735,877332,conf/cibse/carvalhocf07,alexandre coelho|ricardo falbo|victorio carvalho,,apoio automatizado a gerencia de riscos cooperativa,2007,,,,,,cibse,,inproceedings
7736,209403,conf/eextt/lvwyyls02,bing sun|ge yu|guoren wang|hongjun lu|jeffrey xu yu|jianhua lv,,a new path expression computing approach for xml data,2002,,,,,,eextt,,inproceedings
7737,581619,conf/micai/augusteijns00,kelly a shaw |marijke f augusteijn,,constructing a query facility for rbs networks,2000,,,,,,micai,,article
7738,480202,conf/ipmu/coupey92,pascal coupey,,default exclusion in a klonelike terminological component,1992,,,,,,ipmu,,inproceedings
7739,710569,conf/smc/finkg004,eugene fink|jianli gong|john hershberger ,,multiattribute exchange market search for optimal matches,2004,,,,,,smc ,,inproceedings
7740,142660,conf/csc/sunhaloogbb05,ashvin gopaul|mohammad sameer sunhaloo|muddun bhuruth|ravindra boojhawon,,sparse approximate inverse smoothing for multigrid solution of ninepoint approximations for convectiondiffusion problems,2005,,,,,,csc,,inproceedings
7741,84831,conf/cade/woswmolsb90,ewing l lusk|larry wos|ralph butler|rick l stevens|ross a overbeek|s winker|william mccune,,automated reasoning contributed to mathematics and logic,1990,,,,,,cade,,inproceedings
7742,278318,conf/group/mullerwh10,claudia muller|dalibor hrg|lin wan,,dealing with wandering a case study on caregivers attitudes towards privacy and autonomy when reflecting the use of lbs,2010,,,,,,group,,inproceedings
7743,678722,conf/se/bellibs08a,andreas spillner |christof j budnik|fevzi belli,, workshop testmethoden fur software  von der forschung in die praxis,2008,,,,,,software engineering workshops,,inproceedings
7744,799194,conf/visapp/platzerdsnw09,esthersabrina platzer|herbert susse|joachim denzler|josef nagele|karlheinz wehking,,robustness of different features for oneclass classification and anomaly detection in wire ropes,2009,,,,,,visapp ,,phdthesis
7745,298713,conf/hpcn/wismullerl96,roland wismuller|thomas ludwig ,,the toolset  an integrated tool envrionment for pvm,1996,,,,,,hpcn europe,,inproceedings
7746,114083,conf/cinq/zakidgppppu04,benjarath phoophakdee|feng gao|jeevan pathuri|joe urban|mohammed javeed zaki|nagender parimi|nilanjana de|paolo palmerini,,generic pattern mining via data mining template library,2004,,,,,,constraintbased mining and inductive databases,,inproceedings
7747,477957,conf/interact/fadeld07,luciane maria fadel|mary c dyson,,enhancing interactivity in an online learning environment,2007,,,,,,interact ,,inproceedings
7748,796079,conf/cimca/bonnetmv05,borislav vidolov|jerome de miras|stephane bonnet,,nonlinear implicit control of a magnetic bearing without premagnetization,2005,,,,,,cimcaiawtic,,phdthesis
7749,672249,conf/sbia/castromr04,carlos castro|mariacristina riff|michael moossen,,a cooperative framework based on local search and constraint programming for solving discrete global optimisation,2004,,,,,,sbia,,inproceedings
7750,780841,conf/ws/partridgecjkss02,alden w jackson|craig partridge|david cousins|rajesh krishnan|tushar saxena|w timothy strayer,,using signal processing to analyze wireless data traffic,2002,,,,,,workshop on wireless security,,inproceedings
7751,514464,conf/ismb/edgarm05,eugene w myers|robert c edgar,,piler identification and classification of genomic repeats,2005,,,,,,ismb supplement of bioinformatics,,inproceedings
7752,454464,conf/ih/atallahrhkstt02,christian hempelmann|katrina e triezenberg|mercan karahan|mikhail j atallah|radu sion|umut topkara|victor raskin,,natural language watermarking and tamperproofing,2002,,,,,,information hiding,,phdthesis
7753,71899,conf/avss/luzf06,david dagan feng|jian zhang |sijun lu,,a knowledgebased approach for detecting unattended packages in surveillance video,2006,,,,,,avss,,inproceedings
7754,429158,conf/icse/tanejaxths09,jonathan de halleux|kunal taneja|nikolai tillmann|tao xie|wolfram schulte,,guided path exploration for regression test generation,2009,,,,,,icse companion,,phdthesis
7755,27770,conf/acri/manzoni10,luca manzoni,,some formal properties of asynchronous cellular automata,2010,,,,,,acri,,inproceedings
7756,42293,conf/aina/saviol07,domnic savio|thomas ludwig ,,smart carpet a footstep tracking interface,2007,,,,,,aina workshops ,,inproceedings
7757,110625,conf/cicling/pedersenkaks06,anagha kulkarni|roxana angheluta|ted pedersen|thamar solorio|zornitsa kozareva,,an unsupervised language independent method of name discrimination using second order cooccurrence features,2006,,,,,,cicling,,inproceedings
7758,205434,conf/ecsqaru/radzikowska97,anna radzikowska,,towards a formalization of narratives actions with duration concurrent actions and qualifications,1997,,,,,,ecsqarufapr,,inproceedings
